title,price,rating,reviews,availability
PlayStation 4 Pro 1TB Console,,4.7 out of 5 stars,"12,561 ratings",Only 1 left in stock - order soon
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.9 out of 5 stars,10 ratings,Not Available
"BlueFire Professional 3.5mm PS4 Gaming Headset Headphone with Mic and LED Lights for Playstation 4, PS5, Xbox one,Laptop, Computer (Blue)",,4.4 out of 5 stars,"8,491 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,315 ratings,Not Available
Valkyria Chronicles 4: Launch Edition - PlayStation 4,,4.6 out of 5 stars,418 ratings,Not Available
"PS 4 Slim Seyted Upgraded 2TB Console with Wireless Controller, Jet Black",,4.3 out of 5 stars,72 ratings,Not Available
"HIDEit Mounts 4S Bundle, Wall Mounts for PS4 Slim and Controllers, Steel Wall Mount for PlayStation 4 Slim and 2 Controller Mounts to Safely Store Your PS4 Slim and PlayStation Controller",,4.7 out of 5 stars,"6,478 ratings",Not Available
"Uplay Newest Play-Station 4 Console PS.4 with One Wireless Controller, White (Playstation)",,4.8 out of 5 stars,7 ratings,Not Available
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,101 ratings",Only 15 left in stock - order soon
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,278 ratings",Not Available
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,678 ratings",Only 10 left in stock - order soon
Warhammer: Vermintide 2 Deluxe Edition PS4 - PlayStation 4,,4.4 out of 5 stars,153 ratings,Not Available
"Newest Sony Playstation 4 PS4 1TB HDD Gaming Console Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn, Included Dualshock 4 Wireless Controller",,4.6 out of 5 stars,562 ratings,Not Available
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle,,4.8 out of 5 stars,"8,896 ratings",Only 1 left in stock - order soon
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,213 ratings",Only 2 left in stock - order soon
Sony PlayStation 4 500GB Console - Black,,4.6 out of 5 stars,"3,341 ratings",Only 1 left in stock - order soon
Just Cause 4 - PlayStation 4 Gold Edition,,4.5 out of 5 stars,370 ratings,Not Available
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"13,948 ratings",In Stock
"2.4GHz/Bluetooth Wireless Gaming Headset for PlayStation 5 4, Gamer Headphones with Detachable Microphone for PS5, PS4, PC, Switch, Ultra-low Latency, 30 Hours Playtime, Wired Mode for Xbox Series",,4.3 out of 5 stars,135 ratings,Not Available
Sonic Frontiers - PlayStation 4,,4.7 out of 5 stars,580 ratings,In Stock
DC's Justice League: Cosmic Chaos - PlayStation 4,,3.9 out of 5 stars,14 ratings,In Stock
